equipmentId,year,s,pf,ambient_bias,heatRunTest_deltaTopOil,heatRunTest_deltaHotspot,heatRunTest_x,heatRunTest_y,heatRunTest_h,heatRunTest_copperLosses,heatRunTest_noLoadLosses,nominalLoad,MAE,RMSE,Bias,R2,n
24917,2024,-0.0009999998109154877,1.000999999790485,4.999999999995079,33.53593906505344,48.18853037635649,0.619575752504158,0.8000000001451691,1.136239742556246,200.4,15.6,40.0,3.6834604717172716,4.691655685192024,-0.14817033430133225,0.39244480839655027,14664
33291,2024,-0.0009999999999999998,1.0009999999999997,4.999999999999999,79.99999999980389,57.266747110292926,0.7881616164871382,1.924489169841539,1.2807213380428832,244.3,19.97,50.0,2.223388394951494,2.77998305845414,-0.04530345013936488,0.7153788074661698,14664
5004597,2024,0.24999995348907478,0.800000029932568,3.806815638173851,33.42645372166752,29.347540900927495,0.500000003636453,2.183331908530053,1.4139592274959385,216.05,16.15,40.0,2.444943357358552,3.6866584479670594,-0.32569114500085167,0.6373658212137121,14664
5004625,2024,0.24999999999995715,0.8000000000137252,-1.0408106912985602,53.526952917863895,23.24441574294909,0.500000000018852,2.199999873555774,1.3353778514829395,223.28,16.02,40.0,2.5970201404803945,3.9037236481801467,-0.2454730038650405,0.6300338499885241,14664
5017843,2024,0.07392726726128179,0.9695779399414653,4.99999688448641,68.8125955485564,72.1461098915306,1.0238513957709083,0.8000000000000995,1.3297461100979684,157.09,11.15,25.0,1.7085143286160969,2.1892973724283924,-0.022293524190987058,0.8734545693795897,14664
5017873,2024,0.23662452394540423,0.8000000000662812,4.999999968376867,79.99999999947889,46.983600083493265,0.9217926076979137,2.199999999975017,1.4435296126296893,157.09,11.15,25.0,2.101252722503951,2.6908868329852407,-0.03984535652609302,0.7213823646931266,14664
5025312,2024,-0.0009999999999954806,0.8000000000000029,4.999999999991662,79.9999999995916,47.61419243986937,0.5677677578831526,0.8000000001597359,1.1620932801917743,106.3,12.27,25.0,2.0823615844722703,2.5853449466505354,-0.015924887229961278,0.7907009355482681,14664
5026188,2024,-0.0009995490704011016,0.8382014398105657,4.999994664507212,79.99973545288704,46.21944706586171,0.7874581148722041,2.1582344575925605,1.3849094450691308,271.8,18.15,50.0,2.14105399897773,2.689508291127522,-0.04860512102767319,0.6947140977548891,14664
5027447,2024,0.24999999940077264,0.8000000000150231,4.999999972035619,58.161451332511135,42.030754143752475,0.5000000014837565,1.2035192989559464,1.3871122890772034,236.62,17.18,50.0,4.112520627011229,6.360060306969699,-0.27868719784786683,0.3020514771154429,14664
5030256,2024,-0.0009999999973949272,1.0009999999929762,4.999999999999998,79.99999999976072,68.4947682669555,0.500000000000028,1.1959385526700834,1.1501807747748736,106.3,12.27,25.0,4.715575410792829,6.0515029424367555,-0.04254564470419911,0.2081989222667595,14664
50033827,2024,0.2478627088181555,0.8226344303992749,4.999830339028909,55.81133593463674,48.736014160951086,0.5000000000000001,1.7906372015366683,1.4988168999215534,186.51,16.37,40.0,3.2484043059792653,4.017114638413335,0.060220710566176436,0.4508792484825743,14664
50249457,2024,-0.0009999999999985298,1.0009999999997077,4.999999999999951,33.092500775612926,56.0687305424573,0.5000000000000961,0.8000000000000119,1.0173738123218814,106.3,9.5,25.0,4.057005341647801,5.03652381482937,-0.07935046479420232,0.5763649836042727,14664
50250035,2024,0.030834271288812186,0.8599974763198316,4.9999995578987475,77.69508067587941,70.04982646721882,0.6451822703395966,0.8000000000000645,1.2036200350333572,156.87,10.11,25.0,3.0521986683052518,4.478265094035735,-0.3380190490762446,0.5719240444494373,14664
50277055,2024,-0.0009999999999951205,1.0009999999454335,4.9999999999929985,34.03099731836904,60.481589818228514,0.6064158132120587,0.8000000000000015,1.117713441872076,149.18,15.51,40.0,4.453144244424822,5.729903937923551,-0.16577674231629777,0.4795595370980039,14664
50282127,2024,-0.000999999999977617,1.0009999999999997,4.999999999965392,20.46408535598675,46.46168380186066,0.5000000000017105,0.8000000000000002,1.0552151056283332,149.18,15.51,40.0,3.7078210227061805,4.857085586555921,-0.23140481841825317,0.3050663783083636,14664
